questions,answers
پائتھن کیا ہے؟,پائتھن ایک مقصد موجود ہے جو کہ ایک قوی، مصنوعی زبان ہے جسے عموماً پروگرامنگ کی خاطر استعمال کیا جاتا ہے۔
پائتھن کی مخصوصیت کیا ہے؟,پائتھن کی خصوصیت یہ ہے کہ یہ ایک زندہ اور سیدھا سادہ سینٹیکس کے ساتھ آسانی سے پڑھا جاتا ہے۔
پائتھن میں انڈینٹیشن کی کیا اہمیت ہے؟,پائتھن میں انڈینٹیشن کی اہمیت ہے کہ یہ کوڈ کی ساخت کو معین کرتا ہے اور بلاکس کو تعینات کرتا ہے، جو کہ دوسری زبانوں کی مقابلے میں کم پیچیدہ ہوتا ہے۔
پائتھن کے لوپس کیا ہیں؟,پائتھن میں دو قسم کے لوپس ہیں: for loop اور while loop۔
پائتھن میں کتنی قسم کی ڈاٹا اسٹرکچرز استعمال ہوتی ہیں؟,پائتھن میں بہت ساری ڈاٹا اسٹرکچرز استعمال ہوتی ہیں، جیسے لسٹ، ٹیوپل، ڈکشنری، اور سیٹ۔
پائتھن کی مخصوصیت کیا ہے؟,پائتھن کی خصوصیت یہ ہے کہ یہ ایک مفید، سریع اور قابل ترتیب زبان ہے جو کہ مختلف اہداف کے لیے استعمال کیا جا سکتا ہے۔
پائتھن میں ڈاٹا اسٹرکچرز کیا ہوتا ہے؟,پائتھن میں ڈاٹا اسٹرکچرز ایک بلاک کوڈ ہوتا ہے جو کہ ایک مخصوص مشروط کام کو کرتا ہے اور اسے متعدد بار استعمال کیا جا سکتا ہے۔
پائتھن میں لامدا فنکشن کیا ہوتی ہے؟,پائتھن میں لامدا فنکشن ایک چھوٹی سی anonymous ڈاٹا اسٹرکچرز ہوتی ہے جو کہ ایک ہی لائن میں بنائی جاتی ہے۔
پائتھن کی پیکجز کیا ہوتی ہیں؟,پائتھن کی پیکجز میں مختلف موڈیولز کو متضمن کیا جاتا ہے جو کہ مخصوص فعل کرتے ہیں۔
پائتھن میں فائل ہینڈلنگ کیسے کی جاتی ہے؟,پائتھن میں فائل ہینڈلنگ کے لیے open() ڈاٹا اسٹرکچرز استعمال کی جاتی ہے جو کہ فائل کو کھولتا ہے اور close() ڈاٹا اسٹرکچرز استعمال کی جاتی ہے جو کہ فائل کو بند کرتا ہے۔
پائتھن میں اِکسپشن ہینڈلنگ کیسے کی جاتی ہے؟,"پائتھن میں اِکسپشن ہینڈلنگ کے لیے try, except، finally کلوز استعمال کیا جاتا ہے۔"
پائتھن میں ریکرشن کیسے کی جاتی ہے؟,پائتھن میں ریکرشن کیسے کی جاتی ہے؟
پائتھن میں موڈیولز کیا ہوتے ہیں؟,پائتھن میں موڈیولز کو reusable code کی شکل میں استعمال کیا جاتا ہے جو کہ مختلف فعالیتوں کے لیے استعمال ہوتا ہے۔
پائتھن میں اوبجیکٹ اورینٹڈ پروگرامنگ کیا ہوتا ہے؟,پائتھن میں اوبجیکٹ اورینٹڈ پروگرامنگ  ایک programming paradigm ہے جو کہ objects کی مدد سے کوڈ کو ساخت بخشتا ہے۔
پائتھن میں کلاس کیسے بنائی جاتی ہے؟,پائتھن میں کلاس بنانے کے لیے کلاس keyword استعمال کیا جاتا ہے، مثلاً: کلاس Myکلاس:
پائتھن میں اینہیریٹنس کیا ہوتا ہے؟,پائتھن میں اینہیریٹنس کی بنیاد پر ایک کلاس دوسرے کلاس کی properties اور methods کو وراثت دیتا ہے۔
پائتھن میں فَنکشن کیا ہوتا ہے؟,پائتھن میں فَنکشن ایک بلاک کوڈ ہوتا ہے جو کہ ایک مخصوص مشروط کام کو کرتا ہے اور اسے متعدد بار استعمال کیا جا سکتا ہے۔
